days,titles,places,bylines,tags,urls
5-Nov-18,"Grief, anger overflow as families confront a silent Lion Air","JAKARTA, Indonesia ",By NINIEK KARMINI,AP Top News,https://apnews.com/55ebceadd2704093ad6b221e76d06b49
5-Nov-18,Argentina¡¯s Fernandez still inspires loyalty among many,"BUENOS AIRES, Argentina ",By ALMUDENA CALATRAVA,Financial markets,https://apnews.com/e4d3aaf8fc394cb0854ddc8e23839644
5-Nov-18,"The Latest: Trump, Obama give closing arguments for midterms",WASHINGTON ,,Illegal immigration,https://apnews.com/5f03e533a2a043098bab9c8dbb72291d
5-Nov-18,Writer Haruki Murakami plans archive at Japanese university,TOKYO ,By MARI YAMAGUCHI,AP Top News,https://apnews.com/3567d70b20c847ed9c9fd68e525a1283
5-Nov-18,"In Georgia, 11th-hour daggers over voting system",ATLANTA ,By BILL BARROW and FRANK BAJAK,Stacey Abrams,https://apnews.com/0de14be497384a4aa7fea1835053e9ad
5-Nov-18,Campaigns make final push to galvanize voters for midterms,"TEMPE, Ariz. ",By NICHOLAS RICCARDI,Martha McSally,https://apnews.com/503cf6426f1f4e23a8bae72fe3ad9743
5-Nov-18,"Wisconsin town mourns 3 Girl Scouts, 1 adult killed in crash","LAKE HALLIE, Wis. ",,Chippewa Falls,https://apnews.com/de0abc4699bf40c9b8e79a753f6e2bdd
5-Nov-18,"Obama praises Donnelly, says voters don¡¯t want ¡®a yes man¡¯","GARY, Ind. ",By BRIAN SLODYSKO and SARA BURNETT,AP Top News,https://apnews.com/0279e040db99451ca8f3b9b277b9b85b
5-Nov-18,Migrant caravan sets sight on getting to Mexico City,"CORDOBA, Mexico ",By SONIA PEREZ D. and MARK STEVENSON,AP Top News,https://apnews.com/d12be31914c04c6ba4b66c5c112da59f
5-Nov-18,"Obama, Trump offer dueling final pitches to midterm voters",WASHINGTON ,By KEN THOMAS,AP Top News,https://apnews.com/4e9dc71a67494374b52c234ecc435143
5-Nov-18,Migrants camped at border worry caravans will shut them out,"MATAMOROS, Mexico ",By NOMAAN MERCHANT,AP Top News,https://apnews.com/f4d231f3a56c4156a06650245215f92d
5-Nov-18,Trump says he¡¯s focused on Senate with 2 days until midterms,"CHATTANOOGA, Tenn. ",By ZEKE MILLER and JILL COLVIN,Chattanooga,https://apnews.com/26e55a84885a4224922c1891b413a9ad
5-Nov-18,"Utah mayor, guard member killed by trainee in Afghanistan","NORTH OGDEN, Utah ",,Afghanistan,https://apnews.com/d17be963137b4445916ba185aed9df82
5-Nov-18,Air Force mascot falcon improving after injury at West Point,"AIR FORCE ACADEMY, Colo. ",,AP Top News,https://apnews.com/6a634a5ce03c4c46a0e4a4c7d9f4bdb0
4-Nov-18,Why it¡¯s still in Russia¡¯s interest to mess with US politics,PARIS ,By ANGELA CHARLTON,AP Top News,https://apnews.com/877c37d98203426ea222ddf20071f92d
4-Nov-18,Stone throwers face different fates around the globe,JERUSALEM ,By JOSEF FEDERMAN,AP Top News,https://apnews.com/6246e5cca4914723b01c2d965b70df36
4-Nov-18,Man says he wrestled with gunman during yoga studio shooting,"TALLAHASSEE, Fla. ",By GARY FINEOUT and TAMARA LUSH,AP Top News,https://apnews.com/e5e3412736714ff9b8b886c67c9c0988
4-Nov-18,"Analysis: Dems whiffed in 2016, so what if they fail again?",WASHINGTON ,By JULIE PACE,AP Top News,https://apnews.com/03153118747b4acd8aca437e244e749e
4-Nov-18,AP Top 25: West Virginia up to 7 after 10 ranked teams lose,No. 7 West Virginia re-entered the top 10 of The Associated Press college football poll after another weekend in which the number of ranked teams losing reached double digits.,By RALPH D. RUSSO,AP Top News,https://apnews.com/0eae130cf54a4f0785054a359ebe9ebc
4-Nov-18,Reputation precedes ¡®El Chapo¡¯ as US trial approaches,NEW YORK ,By TOM HAYS,AP Top News,https://apnews.com/a1665b20f0834168a6fba796d5ea244d
4-Nov-18,Synagogue shooting worst of many hateful attacks in October,"Kevyn Perkins stopped cold when he saw the letters scrawled on the door to his dorm:  ¡°N----- go back¡± it said, inked in messy red marker. First he was blinded by confusion. Then rage. And then all he could think about was dropping out, finding a new school, escaping for good.",By COLLIN BINKLEY,Religion,https://apnews.com/27bbb80f33fd404e9b8d95efd34e9fb1
4-Nov-18,Voters in Pacific territory choose to keep ties with France,"NOUMEA, New Caledonia ",By CHARLOTTE ANTOINE,New Caledonia,https://apnews.com/cf482ff953ef403e99b9bdf6baf6675d
4-Nov-18,Jewish nurse: I treated mass shooting suspect out of love,PITTSBURGH ,,Shootings,https://apnews.com/29359f3ffd0a410a962a31abe0ad140f
4-Nov-18,"Win or lose, Cruz and O¡¯Rourke may remain political forces","AUSTIN, Texas ",By WILL WEISSERT,AP Top News,https://apnews.com/c57186c10daf43c99087a52743af9945
4-Nov-18,"WWI centenary to be marked in London and Paris, not Berlin",BERLIN ,By DAVID RISING,AP Top News,https://apnews.com/2f41f82f1d1e40189057c229dcea1906
4-Nov-18,Trump presidency faces high stakes in midterm elections,WASHINGTON ,By ZEKE MILLER and CATHERINE LUCEY,AP Top News,https://apnews.com/1bd28b99d72246c185b1aaf66d1d4939
4-Nov-18,The Latest: Trump says Democrats have a ¡®wrecking ball¡¯,"PENSACOLA, Fla. ",,AP Top News,https://apnews.com/ea0b03390c2348cf9cca138db2852b07
3-Nov-18,"¡®Fantastic Beasts¡¯ stars: Grindelwald isn¡¯t Trump, exactly",LOS ANGELES ,By RYAN PEARSON,AP Top News,https://apnews.com/77a95b805a084aa2bba9dd4b26676f4d
3-Nov-18,Grammy-winning jazz trumpeter Roy Hargrove dies at age 49,LOS ANGELES ,By ANDREW DALTON,Entertainment,https://apnews.com/c8c8d9a7040543f6807f0b9e66d9dd88
3-Nov-18,Alec Baldwin says he didn¡¯t punch man in parking dispute,NEW YORK ,,AP Top News,https://apnews.com/baccd25c536642e5ae58b34a1a24b1f3
3-Nov-18,Christians in Egypt bury their dead after attack,"MINYA, Egypt ",By SAMY MAGDY and HAMZA HENDAWI,AP Top News,https://apnews.com/6065e1a2040d4b88a4c572bd1e601dfe
3-Nov-18,"Social media¡¯s misinformation battle: No winners, so far",NEW YORK ,By BARBARA ORTUTAY,AP Top News,https://apnews.com/1729336126a448549379beb364180e27
3-Nov-18,"For some, a vibrant US economy complicates voting decision","EXTON, Pennsylvania ",By JOSH BOAK,AP Top News,https://apnews.com/b84b5f26ec5e4d5481c5882922c591d8
3-Nov-18,¡®We are not killers:¡¯ Migrants in caravan respond to Trump,"DONAJI, Mexico ",By SONIA PEREZ D.,AP Top News,https://apnews.com/cab4b671fb6d44078ca4f78277d41782
3-Nov-18,A look at the troops being sent to US-Mexico border,WASHINGTON ,By ROBERT BURNS and LOLITA C. BALDOR,AP Top News,https://apnews.com/7e35aadd6f65499badb005a650ecdc06
3-Nov-18,Correction: Migrant Caravan story,"JUCHITAN, Mexico ",,AP Top News,https://apnews.com/e98cc446af3e4c83af8a353f2fdeccbd
3-Nov-18,Troop deployment creates tense atmosphere on US border,"BROWNSVILLE, Texas ",By NOMAAN MERCHANT,AP Top News,https://apnews.com/d5889a081f2a4c548d7bc789a4487b20
3-Nov-18,Trump vs. Obama in the final weekend of the midterms,WASHINGTON ,By KEN THOMAS,AP Top News,https://apnews.com/f63a7d801eb84559bfda89638b03f971
2-Nov-18,"Heat, exhaustion, illness: 1 day with the migrant caravan","PIJIJIAPAN, Mexico ",By JULIE WATSON,AP Top News,https://apnews.com/14b55fb12cc843b58a82b28cb30f8eb8
2-Nov-18,"Man in Trump video was jailed, released under Joe Arpaio",PHOENIX ,By JACQUES BILLEAUD,AP Top News,https://apnews.com/0edd2e88ec514b98b2957db4dd05bbaa
2-Nov-18,Congregations attacked at synagogue to hold joint service,PITTSBURGH ,By MARYCLAIRE DALE,AP Top News,https://apnews.com/eedcdc699cf74979bdc363587319f1ea
2-Nov-18,US economy looks strong heading into congressional elections,WASHINGTON ,By CHRISTOPHER RUGABER,AP Top News,https://apnews.com/1ac3fe8cbab841daa6b30bf48b7418da
2-Nov-18,Path to power: House races to watch on election night,WASHINGTON ,By LAURIE KELLMAN,Donald Trump,https://apnews.com/51588b5ff14949f6b53f0ac69d8dd991
2-Nov-18,"Feds say heroin, fentanyl remain biggest drug threat to US",WASHINGTON ,By MICHAEL BALSAMO,U.S. Drug Enforcement Administration,https://apnews.com/79c5f4d312c944d692ea2e82fc2ef1d1
2-Nov-18,Trump pledges asylum crackdown and tent cities. Is it legal?,WASHINGTON ,By JILL COLVIN and COLLEEN LONG,Illegal immigration,https://apnews.com/fd454b4705d145f185ea0ab42c081eac
2-Nov-18,"In migrant caravan, kids and parents struggle with long trek","NILTEPEC, Mexico ",By CHRISTOPHER SHERMAN,AP Top News,https://apnews.com/95dc53ee126e4a6e8ec8a3233b1b6aea
2-Nov-18,Security experts question border mission for military,WASHINGTON ,By ROBERT BURNS and LOLITA C. BALDOR,AP Top News,https://apnews.com/8421b7d60eb447ed8467a33394dad562
2-Nov-18,"AP PHOTOS: Yemen¡¯s displaced live on bread crumbs, leaves","ABS, Yemen ",By HANI MOHAMMED,International News,https://apnews.com/3d671c76c82244f08c1895bc8243c32f
2-Nov-18,Tech elite stages a Revolt of the Haves against employers,NEW YORK ,By MATT O'BRIEN and MAE ANDERSON,Technology,https://apnews.com/30dab1d01316468ea88c6694a8c604bf
days,titles,places,bylines,tags,urls
6-Nov-18,Blue wave or red tide? Americans are casting votes to decide,"JEFFERSONVILLE, Ind. ",By CLAIRE GALOFARO and MARTHA IRVINE,AP Top News,https://apnews.com/705ae08bd6f44012b564b0f37b5ca089
6-Nov-18,National voting system faces test on Election Day,ATLANTA ,By CHRISTINA A. CASSIDY and COLLEEN LONG,AP Top News,https://apnews.com/6fb6de6fdb034b889d301efd12602e21
6-Nov-18,Amazon mum on reports it will split new headquarters,NEW YORK ,,AP Top News,https://apnews.com/c322a6093b4245f19d89a9b69b8e5f32
6-Nov-18,Asian economies grateful for reprieve on Iran oil imports,"SEOUL, South Korea ",By TONG-HYUNG KIM,Global trade,https://apnews.com/566ec89fbcdb410390b14258b4ed339c
6-Nov-18,"In Texas, Ted Cruz squares off with rising star O¡¯Rourke","EL PASO, Texas ",By WILL WEISSERT,AP Top News,https://apnews.com/8457f060af45417db0bb91be5fb8cb8f
6-Nov-18,Fox¡¯s Hannity speaks onstage at Trump campaign rally,NEW YORK ,By DAVID BAUDER,AP Top News,https://apnews.com/20f240baf06742c79de711d7e8580eb9
6-Nov-18,"¡°In a sense, I am on the ticket,¡± Trump seeks voter support","CAPE GIRARDEAU, Mo. ","By JONATHAN LEMIRE, CATHERINE LUCEY and ZEKE MILLER",AP Top News,https://apnews.com/a548d15bf67c417383ab8c7135ac3fa8
6-Nov-18,"Mariota recovers, Titans top Cowboys 28-14 in Cooper¡¯s debut","ARLINGTON, Texas ",By SCHUYLER DIXON,Sports,https://apnews.com/51eac8cce6864c9cb5ca32c292feb09b
6-Nov-18,People magazine names Idris Elba 2018¡äs Sexiest Man Alive,LOS ANGELES ,By JONATHAN LANDRUM Jr.,Idris Elba,https://apnews.com/8394124d9fc0496e93d71050cd9440a0
6-Nov-18,"With political future on line, Trump makes last midterm push","CAPE GIRARDEAU, Mo. ","By JONATHAN LEMIRE, CATHERINE LUCEY and ZEKE MILLER",AP Top News,https://apnews.com/16fc64a12b3b4a8e84330b04f4d77dc7
6-Nov-18,USOC moves to shut down USA Gymnastics after Nassar scandal,"The U.S. Olympic Committee took steps Monday to decertify USA Gymnastics as the governing body for the sport at the Olympic level, choosing to pursue the nuclear option for an organization that botched its own rebuilding attempt in the wake of a sex-abuse scandal involving former team doctor ...",By EDDIE PELLS,AP Top News,https://apnews.com/047d1ae4181e4c5b9baf6132cf72b1a5
6-Nov-18,2 California death row inmates found dead; suicide suspected,"SACRAMENTO, Calif. ",By DON THOMPSON,AP Top News,https://apnews.com/237283e4cc2447cd978accc16bcb6fbb
6-Nov-18,"Caravan migrants arrive in Mexico City, bed down in stadium",MEXICO CITY ,"By SONIA PEREZ D., MARK STEVENSON, and MARIA VERZA",AP Top News,https://apnews.com/bb335ceae7444924b97db378ed1f11b9
6-Nov-18,"Relatives struggle with Wisconsin deaths of Girl Scout, mom",MILWAUKEE ,By IVAN MORENO,AP Top News,https://apnews.com/43d0a8e614f548899f641e0f1e825762
6-Nov-18,Economic realities moderate Trump¡¯s hard line on Iran,WASHINGTON ,By MATTHEW LEE,AP Top News,https://apnews.com/d71ba915c0e441cea484f71c0dcc0678
6-Nov-18,"US election systems more secure, but voting problems persist",ATLANTA ,By CHRISTINA A. CASSIDY and COLLEEN LONG,Local elections,https://apnews.com/39bf351036ce41eba5c73fdd71e8b713
6-Nov-18,"Fox, NBC and Facebook turn down Trump ad deemed racist",NEW YORK ,By DAVID BAUDER,Television,https://apnews.com/c2f9567a937044bfbb0bef7eafd13c9f
6-Nov-18,Iowa winner claims huge Powerball jackpot,"CLIVE, Iowa ",By SCOTT McFETRIDGE,AP Top News,https://apnews.com/c5c809deef3a412c9d6f69d28c9a62bc
6-Nov-18,How ¡®net neutrality¡¯ became a hot-button issue,NEW YORK ,By MAE ANDERSON,Technology,https://apnews.com/2ceb089790944682bfda0e40f4a1424c
6-Nov-18,AP Photos: Earthly protection for those seeking the divine,"From the Vatican¡¯s St. Peter¡¯s Square to the Great Synagogue of Sydney, armed guards provide earthly protection for worshippers as they seek out the divine. And still an unexpected noise can send a spasm of fear through a congregation.",By LORI HINNANT,AP Top News,https://apnews.com/ee09ca35045d4ef8836f37e81de8dc4b
5-Nov-18,Georgia governor¡¯s race roiled by election security charges,ATLANTA ,By BILL BARROW and FRANK BAJAK,Stacey Abrams,https://apnews.com/003e4c45886e4119a5b6f8ddfeb3995e
5-Nov-18,Separatists kidnap 79 pupils in Cameroon¡¯s restive northwest,"YAOUNDE, Cameroon ",By EDWIN KINDZEKA MOKI,AP Top News,https://apnews.com/613d03d0c1b84f89a22eda5325148e65
5-Nov-18,Aretha Franklin doc ¡®Amazing Grace¡¯ to finally see the light,NEW YORK ,By JAKE COYLE,AP Top News,https://apnews.com/8fb72e19972a40c3b00af4a68089060a
5-Nov-18,Path to power: House races to watch on election night,WASHINGTON ,By LAURIE KELLMAN,Donald Trump,https://apnews.com/e02c4dc9c43b40808595e4c5aa9cc5d5
5-Nov-18,Iran president warns of ¡®war situation¡¯ as sanctions resume,"TEHRAN, Iran ",By NASSER KARIMI and JON GAMBRELL,AP Top News,https://apnews.com/4e22aa017d524490af8ed2b3dfca13f1
5-Nov-18,More protection: UN says Earth¡¯s ozone layer is healing,WASHINGTON ,By SETH BORENSTEIN,AP Top News,https://apnews.com/835094e7af61414981259ed69dbb185e
5-Nov-18,"With him or against him, Trump looms large over Election Day","LOUISVILLE, Ky. ","By CLAIRE GALOFARO, MARTHA IRVINE and SHARON COHEN",U.S. News,https://apnews.com/464f27b585d34fc597884d88d8ab10af
5-Nov-18,Autopsy finds rapper Mac Miller died from drugs and alcohol,LOS ANGELES ,By ANDREW DALTON,Los Angeles,https://apnews.com/9e65656745a741cfbff6874df91ffa2d
5-Nov-18,"Democrats¡¯ hopes high for taking House, but nothing certain",WASHINGTON ,By STEVE PEOPLES,AP Top News,https://apnews.com/45c16428c1ea41a9b7f7e087498d312e
5-Nov-18,"Analysis: Democrats focus on House, eye Midwest redemption",WASHINGTON ,By JULIE PACE,Hillary Clinton,https://apnews.com/114ff4d066df46a2bcaacff969c48e98
5-Nov-18,Mayweather to fight Japanese kickboxer Nasukawa in December,TOKYO ,,AP Top News,https://apnews.com/18cf8f20afae4c32afc9b0d33c6c427f
5-Nov-18,Lion Air jet¡¯s airspeed indicator malfunctioned on 4 flights,"JAKARTA, Indonesia ",By NINIEK KARMINI,AP Top News,https://apnews.com/55ebceadd2704093ad6b221e76d06b49
5-Nov-18,Turkey: Saudi investigators worked to remove evidence,"ANKARA, Turkey ",By SUZAN FRASER,Turkey,https://apnews.com/3f7fe04c31db4adfab864b3e7cefeb11
5-Nov-18,A luxury city shows blueprint for Syria¡¯s rebuilding plans,"DAMASCUS, Syria ",By ZEINA KARAM,AP Top News,https://apnews.com/5b5c0055ddfd46d2916f29b9e43349f5
5-Nov-18,Argentina¡¯s Fernandez still inspires loyalty among many,"BUENOS AIRES, Argentina ",By ALMUDENA CALATRAVA,Caribbean,https://apnews.com/e4d3aaf8fc394cb0854ddc8e23839644
5-Nov-18,Swollen and blistered feet are big challenge for migrants,"CORDOBA, Mexico ",By MARK STEVENSON and AMY GUTHRIE,AP Top News,https://apnews.com/3934cbfdddd546de9369508a691bf186
5-Nov-18,"In Georgia, 11th-hour daggers over voting system",ATLANTA ,By BILL BARROW and FRANK BAJAK,Stacey Abrams,https://apnews.com/0de14be497384a4aa7fea1835053e9ad
5-Nov-18,Migrants camped at border worry caravans will shut them out,"MATAMOROS, Mexico ",By NOMAAN MERCHANT,AP Top News,https://apnews.com/f4d231f3a56c4156a06650245215f92d
4-Nov-18,Man says he wrestled with gunman during yoga studio shooting,"TALLAHASSEE, Fla. ",By GARY FINEOUT and TAMARA LUSH,AP Top News,https://apnews.com/e5e3412736714ff9b8b886c67c9c0988
4-Nov-18,Jewish nurse: I treated mass shooting suspect out of love,PITTSBURGH ,,Shootings,https://apnews.com/29359f3ffd0a410a962a31abe0ad140f
4-Nov-18,The Latest: Trump says Democrats have a ¡®wrecking ball¡¯,"PENSACOLA, Fla. ",,AP Top News,https://apnews.com/ea0b03390c2348cf9cca138db2852b07
3-Nov-18,AP FACT CHECK: Trump spreads distortions on immigration,WASHINGTON ,By CALVIN WOODWARD and HOPE YEN,AP Top News,https://apnews.com/a9546f6221a64a15a2fd40d07907044f
3-Nov-18,"Social media¡¯s misinformation battle: No winners, so far",NEW YORK ,By BARBARA ORTUTAY,AP Top News,https://apnews.com/1729336126a448549379beb364180e27
3-Nov-18,"For some, a vibrant US economy complicates voting decision","EXTON, Pennsylvania ",By JOSH BOAK,AP Top News,https://apnews.com/b84b5f26ec5e4d5481c5882922c591d8
3-Nov-18,Correction: Migrant Caravan story,"JUCHITAN, Mexico ",,AP Top News,https://apnews.com/e98cc446af3e4c83af8a353f2fdeccbd
3-Nov-18,Troop deployment creates tense atmosphere on US border,"BROWNSVILLE, Texas ",By NOMAAN MERCHANT,AP Top News,https://apnews.com/d5889a081f2a4c548d7bc789a4487b20
3-Nov-18,Trump vs. Obama in the final weekend of the midterms,WASHINGTON ,By KEN THOMAS,AP Top News,https://apnews.com/f63a7d801eb84559bfda89638b03f971
2-Nov-18,Video of cop killer featured in new Trump campaign push,WASHINGTON ,"By JONATHAN LEMIRE, ZEKE MILLER and JILL COLVIN",AP Top News,https://apnews.com/bb1188bf7c224ee79630c2b616ec98c8
2-Nov-18,"Heat, exhaustion, illness: 1 day with the migrant caravan","PIJIJIAPAN, Mexico ",By JULIE WATSON,AP Top News,https://apnews.com/14b55fb12cc843b58a82b28cb30f8eb8
days,titles,places,bylines,tags,urls
"November 7, 2018",The Latest: Trump back Pelosi for House Speaker,WASHINGTON ,,AP Top News,https://apnews.com/427027c9692e473fbb00d450eaa24f0e
"November 7, 2018","Democrats seize House control, but Trump¡¯s GOP holds Senate",WASHINGTON ,By STEVE PEOPLES and JILL COLVIN,AP Top News,https://apnews.com/c0be062914e048d79f70bcf120e1ccbb
"November 7, 2018",The Latest: Abrams vows to wait for all the votes in Georgia,WASHINGTON ,,Stacey Abrams,https://apnews.com/408de7504f57429497df82a5bd52a35d
"November 7, 2018","As much of America voted, some chose not to or couldn¡¯t",ATLANTA ,By DAVID GOLDMAN,AP Top News,https://apnews.com/68abbafdd9094ee982569a625f98657e
"November 7, 2018",Voters give House Democrats a check on Trump,WASHINGTON ,By LISA MASCARO,AP Top News,https://apnews.com/589730d4b6834a0db0b588f25356f33a
"November 7, 2018","Despite House loss, Trump still sees midterms success",WASHINGTON ,By CATHERINE LUCEY and JONATHAN LEMIRE,AP Top News,https://apnews.com/a548d15bf67c417383ab8c7135ac3fa8
"November 7, 2018",10 Things to Know for Today,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about today:",By The Associated Press,U.S. News,https://apnews.com/1b73bc905af74895a434c4f9f20e2afe
"November 7, 2018",Massachusetts backs transgender rights; Michigan OKs pot use,NEW YORK ,By DAVID CRARY,AP Top News,https://apnews.com/65d228dee0144700b0d35dc62932fc1d
"November 7, 2018","Abrams, Kemp await more ballots in Georgia governor¡¯s race",ATLANTA ,By BILL BARROW and BEN NADLER,Stacey Abrams,https://apnews.com/9381c30f852e457f86961bc2a295158d
"November 7, 2018","GOP keeps Senate control for 2 more years, triumph for Trump",WASHINGTON ,By ALAN FRAM,AP Top News,https://apnews.com/f2fa853a75594a02bfc586999b7fd23f
"November 7, 2018","Democrats gain governors¡¯ seats, but GOP holds some states","Democrats tried Tuesday to fight their way back to power in state capitols across the country by reclaiming governor¡¯s seats in several key states, marking significant steps in their nationwide strategy to reverse years of Republican gains in state capitols.",By DAVID A. LIEB,AP Top News,https://apnews.com/9e06ae1d2f1b4571b2dd717ed0e311b5
"November 7, 2018",The Latest: 3 Senate races remain too close to call,WASHINGTON ,,Senate elections,https://apnews.com/52d37c99075d4d8e9af1f76c044d8132
"November 7, 2018","Takeaways: A split decision for Trump, Democrats",WASHINGTON ,By KEN THOMAS,AP Top News,https://apnews.com/821554d2bc2d45cd8371edc8acbf6c58
"November 7, 2018",The Latest: GOP¡¯s Laxalt concedes in Nevada governor¡¯s race,WASHINGTON ,,AP Top News,https://apnews.com/8dbb004abde54199abca30af37915439
"November 7, 2018",The Latest: Democrats seize control of the House,WASHINGTON ,,Baseball,https://apnews.com/e1d57cce04e04a01ad7044a1e6c50f9a
"November 7, 2018","AP voter poll shows focus on Trump, immigration, health care",WASHINGTON ,By MARY CLARE JALONICK,AP Top News,https://apnews.com/222fd1571d744aec903604542eb11b70
"November 7, 2018",Political pioneers: Voters elect trailblazing candidates,WASHINGTON ,By ERRIN HAINES WHACK,AP Top News,https://apnews.com/e93e2ea6edd144f3bafec6907b14d3f4
"November 7, 2018",Cruz fends off O¡¯Rourke in Texas Senate race,"EL PASO, Texas ",By WILL WEISSERT,Houston,https://apnews.com/8457f060af45417db0bb91be5fb8cb8f
"November 7, 2018",The Latest: Some Nevada polls stayed open 3 extra hours,ATLANTA ,,AP Top News,https://apnews.com/868629831b0f4d7a85af6e0f7f0183fd
"November 7, 2018",Broken machines to threats of violence among voting problems,"Voting machine glitches, long lines and misinformation were among the problems that voters faced at the polls on Tuesday.",By The Associated Press,Georgia,https://apnews.com/3b8fac656c7f446ca95542d599e2f2c0
"November 7, 2018",AP VoteCast: Trump a dominant force on voters¡¯ minds,WASHINGTON ,By ZEKE MILLER,AP Top News,https://apnews.com/c70031fe8d92403faf2056abf7752fd1
"November 7, 2018",Clerk jailed over marriage licenses loses re-election bid,"LOUISVILLE, Ky. ",By BRUCE SCHREINER,AP Top News,https://apnews.com/0ebc64933444438b828c2bba7d91c401
"November 7, 2018",GOP¡¯s DeSantis defeats Gillum in Florida governor¡¯s race,"TALLAHASSEE, Fla. ",By BRENDAN FARRINGTON and GARY FINEOUT,AP Top News,https://apnews.com/263896e7421946b09d7dcf670a15c606
"November 7, 2018",Trump is all the talk among voters as Americans cast ballots,"It¡¯s Election Day in America, and voters will deliver their first verdict of President Donald Trump¡¯s tumultuous tenure in a midterm that¡¯s expected to draw historic numbers to the polls.",By The Associated Press,AP Top News,https://apnews.com/f9bf157473af413c8cd3668e1f98ff62
